Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
1,Supercomputer Fugaku,Fujitsu,Japan,2020,Research,7630848,2200,,442010,537212,29899.23,14.78332385,MPP,Fujitsu ARM,Red Hat Enterprise Linux,Linux,None,48,Fujitsu Cluster,Asia,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",1
2,Summit,IBM,United States,2018,Research,2414592,3070,2211840,148600,200794.88,10096,14.71870048,Cluster,Power,RHEL 7.4,Linux,NVIDIA Volta GV100,22,IBM Power Systems,North America,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",2
3,Sierra,IBM / NVIDIA / Mellanox,United States,2018,Research,1572480,3100,1382400,94640,125712,7438.28,12.72337153,Cluster,Power,Red Hat Enterprise Linux,Linux,NVIDIA Volta GV100,22,IBM Power Systems,North America,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",3
4,Sunway TaihuLight,NRCPC,China,2016,Research,10649600,1450,,93014.59388,125435.904,15371,6.051304006,MPP,ShenWei,Sunway RaiseOS 2.0.5,Linux,None,260,Sunway Cluster,Asia,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",4
5,Perlmutter,HPE,United States,2021,Research,761856,2450,663552,70870,93750,2589,27.37350328,MPP,AMD Zen-3 (Milan),HPE Cray OS,Linux,NVIDIA A100 SXM4 40 GB,64,HPE Cray EX,North America,"HPE Cray EX235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",5
6,Selene,Nvidia,United States,2020,Vendor,555520,2250,483840,63460,79215,2646,23.98337113,Cluster,AMD Zen-2 (Rome),Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,NVIDIA DGX,North America,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",6
7,Tianhe-2A,NUDT,China,2018,Research,4981760,2200,4554752,61444.5,100678.664,18482,3.32455903,Cluster,Intel IvyBridge,Kylin Linux,Linux,Matrix-2000,12,TH-IVB Cluster,Asia,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",7
8,JUWELS Booster Module,Atos,Germany,2020,Research,449280,2800,404352,44120,70980,1764.22,25.00821893,Cluster,AMD Zen-2 (Rome),CentOS,Linux,NVIDIA A100,24,BullSequana,Europe,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",8
9,HPC5,DELL EMC,Italy,2020,Industry,669760,2100,582400,35450,51720.76,2252.17,15.74037484,Cluster,Intel Cascade lake,CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Dell PowerEdge Cluster,Europe,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",9
10,Voyager-EUS2,Microsoft Azure,United States,2021,Vendor,253440,2450,228096,30050,39531.15,,,Cluster,AMD Zen-2 (Rome),Ubuntu 18.04 LTS,Linux,NVIDIA A100 80GB​,48,Microsoft Azure Cluster,North America,"ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband",
11,SSC-21,HPE,South Korea,2021,Industry,204160,2800,190080,25177,31751.1,,,Cluster,AMD Zen-3 (Milan),RHEL 8.3,Linux,NVIDIA A100 80GB​,32,HP Apollo,Asia,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",
12,Polaris,HPE,United States,2021,Research,259840,2400,241920,23840,34595.64,,,Cluster,AMD Zen-2 (Rome),SLES15 SP2,Linux,NVIDIA A100 SXM4 40 GB,32,HP Apollo,North America,"Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",
13,Frontera,DELL EMC,United States,2019,Academic,448448,2700,,23516.4,38745.907,,,Cluster,Intel Cascade lake,CentOS Linux 7,Linux,None,28,Dell PowerEdge Cluster,North America,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",10
14,CEA-HF,Atos,France,2021,Research,810240,2450,,23237.6,31761.4,4959.47,4.685500668,Cluster,AMD Zen-3 (Milan),Linux,Linux,None,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",
