Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
91,Raven,Lenovo,Germany,2021,Research,114624,2400,,5415.98,8803.12,,,Cluster,Intel Ice Lake,SUSE Linux Enterprise Server 15 SP2,Linux,None,36,Lenovo ThinkSystem,Europe,"ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100",79
92,MAHTI,Atos,Finland,2020,Academic,169728,2600,,5388.52,7060.6848,1070,5.036,Cluster,AMD Zen-2 (Rome),bullx SCS,Linux,None,64,BullSequana,Europe,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",80
93,Pangea,HPE,France,2013,Industry,220800,2500,,5283.11,6712.32,4150,1.273038554,Cluster,Intel Haswell,SUSE Linux Enterprise Server 11,Linux,None,12,SGI ICE,Europe,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",81
94,Berzelius,Atos,Sweden,2021,Academic,59520,2250,51840,5253,9636.48,,,Cluster,AMD Zen-2 (Rome),Red Hat Enterprise Linux,Linux,NVIDIA A100,64,NVIDIA DGX,Europe,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",82
95,"DiRAC, Tursa",Atos,United Kingdom,2021,Academic,55552,3000,48384,5228,8580,243.95,21.43062103,Cluster,AMD Zen-2 (Rome),Linux,Linux,NVIDIA A100 40GB,32,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",
96,TX-GAIA (Green AI Accelerator),HPE,United States,2019,Academic,88400,2500,70720,5161,6981.4784,1436,3.594011142,Cluster,Intel Cascade lake,CentOS Linux 7,Linux,NVIDIA Tesla V100,20,HP Apollo,North America,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",83
97,BioHive-1,Nvidia,United States,2021,Industry,39680,2250,34560,4902,5709.44,,,Cluster,AMD Zen-2 (Rome),Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,NVIDIA DGX,North America,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",84
98,Flow Type II subsystem,Fujitsu,Japan,2020,Academic,79560,2100,70720,4880.46,7519.3,,,Cluster,Intel Cascade lake,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Fujitsu PRIMERGY,Asia,"PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",85
99,Eagle,HPE,United States,2018,Research,75600,3000,,4850.66,7257.6,,,Cluster,Intel Skylake,CentOS,Linux,None,18,HPE SGI 8600,North America,"HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube",86
100,Cheyenne,HPE,United States,2016,Research,144900,2300,,4788.19,5332.32,1727,2.772547771,Cluster,Intel Broadwell,SUSE Linux Enterprise Server 12 SP1,Linux,None,18,SGI ICE,North America,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",87
101,Betzy,Atos,Norway,2020,Academic,172032,2250,,4724.79,6193.15,,,Cluster,AMD Zen-2 (Rome),RHEL 7.7,Linux,None,64,BullSequana,Europe,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",88
102,PARAM Siddhi-AI,Atos,India,2020,Research,41664,2250,36288,4619,5267.14,,,Cluster,AMD Zen-2 (Rome),Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,NVIDIA DGX,Asia,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",89
103,ITO - Subsystem A,Fujitsu,Japan,2018,Academic,72000,3000,,4540.69,6912,,,Cluster,Intel Skylake,Redhat Enterprise Linux 7,Linux,None,18,Fujitsu PRIMERGY,Asia,"Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR",90
