Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
126,Joule 2.0,HPE,United States,2018,Research,86400,2400,11200,3608.62,5750.784,,,Cluster,Intel Skylake,Linux,Linux,NVIDIA Tesla P100,20,HP Cluster,North America,"HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100",112
127,Niagara,Lenovo,Canada,2017,Research,80640,2400,,3599.65999,6253.056,919.42,3.915142144,Cluster,Intel Skylake,CentOS,Linux,None,20,Lenovo ThinkSystem,North America,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",113
128,,HPE,United States,2014,Government,72800,2200,62400,3577,6131.84,1498.9,2.386416706,Cluster,Intel IvyBridge,Linux,Linux,NVIDIA Tesla K40,10,Cray CS-Storm,North America,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",114
129,,HPE,United States,2015,Government,72800,2200,62400,3577,6131.84,1498.9,2.386416706,Cluster,Intel IvyBridge,Linux,Linux,NVIDIA Tesla K40,10,Cray CS-Storm,North America,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",115
130,B1A,Lenovo,United States,2021,Industry,80640,2700,,3545.65,6967.3,,,Cluster,Intel Cascade lake,Linux,Linux,None,28,Lenovo ThinkSystem,North America,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",
131,Altair,Huawei,Poland,2020,Academic,63360,2900,,3533.61,5879.81,829,4.262496984,Cluster,Intel Cascade lake,CentOS,Linux,None,24,Huawei Cluster,Europe,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",116
132,,Lenovo,China,2021,Academic,59392,2600,,3488.84,4941.41,,,Cluster,Intel Ice Lake,Linux,Linux,None,32,Lenovo ThinkSystem,Asia,"ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband",
133,Unizah-II,HPE,Saudi Arabia,2020,Industry,85560,2500,,3487.91,6844.8,,,Cluster,Intel Cascade lake,RHEL 7.7,Linux,None,20,Cray CS,Asia,"Cray CS500, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",117
134,Ohtaka,DELL EMC,Japan,2020,Research,215040,2000,,3486.1,6881.28,,,Cluster,AMD Zen-2 (Rome),Red Hat Enterprise Linux,Linux,None,64,Dell PowerEdge Cluster,Asia,"PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband",118
135,CARO,NEC,Germany,2021,Research,174592,2000,,3458.3,5586.94,,,Cluster,AMD Zen-2 (Rome),Rocky Linux 8.4,Linux,None,64,NEC Cluster,Europe,"NEC HPC2808Ri-2, AMD EPYC 7702 64C 2GHz, InfiniBand HDR100",
136,davinci-1,Atos,Italy,2020,Others,38400,2800,34560,3449,6412.03,,,Cluster,AMD Zen-2 (Rome),Linux,Linux,NVIDIA A100,24,BullSequana,Europe,"BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",119
137,Cedar (GPU),ACTION,Canada,2020,Academic,67584,2100,61440,3371,5834.4,310,10.87419355,Cluster,Intel Skylake,CentOS,Linux,NVIDIA Tesla V100,16,Dell PowerEdge Cluster,North America,"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",120
138,Topaz,HPE,United States,2015,Research,124200,2300,,3318.95,4570.56,5175,0.641342995,Cluster,Intel Haswell,SUSE Linux Enterprise Server 11,Linux,None,18,SGI ICE,North America,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",121
139,,Self-made,United States,2017,Industry,60512,2200,55552,3307,4896.512,349.5,9.462088698,Cluster,Intel Broadwell,Ubuntu,Linux,NVIDIA Tesla P100,20,Hybrid Cluster,North America,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",122
140,Topaze-cpu,Atos,France,2021,Research,110592,2450,,3261.02,4335.21,,,Cluster,AMD Zen-3 (Milan),Linux,Linux,None,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",
141,,NEC,Germany,2020,Research,14336,1584,,3250.4,4282.08,565.08,5.752105897,Cluster,NEC Vector Engine,VEOS,Linux,None,8,SX-Aurora TSUBASA,Europe,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Mellanox InfiniBand HDR100",124
142,Damson,Atos,United Kingdom,2017,Research,113832,2300,,3243.41,3791.5776,1134,2.860149912,Cluster,Intel Broadwell,bullx SCS,Linux,None,18,BullSequana,Europe,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",125
