Row ID,State,Category,Sub-Category,Sales,Quantity,Profit
1,Kentucky,Furniture,Bookcases,261.96,2,41.9136
2,Kentucky,Furniture,Chairs,731.94,3,219.582
3,California,Office Supplies,Labels,14.62,2,6.8714
4,Florida,Furniture,Tables,957.5775,5,-383.031
5,Florida,Office Supplies,Storage,22.368,2,2.5164
6,California,Furniture,Furnishings,48.86,7,14.1694
7,California,Office Supplies,Art,7.28,4,1.9656
8,California,Technology,Phones,907.152,6,90.7152
9,California,Office Supplies,Binders,18.504,3,5.7825
10,California,Office Supplies,Appliances,114.9,5,34.47
11,California,Furniture,Tables,1706.184,9,85.3092
12,California,Technology,Phones,911.424,4,68.3568
13,North Carolina,Office Supplies,Paper,15.552,3,5.4432
14,Washington,Office Supplies,Binders,407.976,3,132.5922
15,Texas,Office Supplies,Appliances,68.81,5,-123.858
16,Texas,Office Supplies,Binders,2.544,3,-3.816
17,Wisconsin,Office Supplies,Storage,665.88,6,13.3176
18,Utah,Office Supplies,Storage,55.5,2,9.99
19,California,Office Supplies,Art,8.56,2,2.4824
20,California,Technology,Phones,213.48,3,16.011
21,California,Office Supplies,Binders,22.72,4,7.384
22,Nebraska,Office Supplies,Art,19.46,7,5.0596
23,Nebraska,Office Supplies,Appliances,60.34,7,15.6884
24,Pennsylvania,Furniture,Chairs,71.372,2,-1.0196
25,Utah,Furniture,Tables,1044.63,3,240.2649
26,California,Office Supplies,Binders,11.648,2,4.2224
27,California,Technology,Accessories,90.57,3,11.7741
28,Pennsylvania,Furniture,Bookcases,3083.43,7,-1665.0522
29,Pennsylvania,Office Supplies,Binders,9.618,2,-7.0532
30,Pennsylvania,Furniture,Furnishings,124.2,3,15.525
31,Pennsylvania,Office Supplies,Envelopes,3.264,2,1.1016
32,Pennsylvania,Office Supplies,Art,86.304,6,9.7092
33,Pennsylvania,Office Supplies,Binders,6.858,6,-5.715
34,Pennsylvania,Office Supplies,Art,15.76,2,3.546
35,Texas,Office Supplies,Paper,29.472,3,9.9468
36,Texas,Technology,Phones,1097.544,7,123.4737
37,Texas,Furniture,Furnishings,190.92,5,-147.963
38,Texas,Office Supplies,Envelopes,113.328,9,35.415
39,Texas,Furniture,Bookcases,532.3992,3,-46.9764
40,Texas,Furniture,Chairs,212.058,3,-15.147
41,Texas,Technology,Phones,371.168,4,41.7564
42,Illinois,Technology,Phones,147.168,4,16.5564
43,California,Office Supplies,Storage,77.88,2,3.894
44,Florida,Office Supplies,Storage,95.616,2,9.5616
45,Minnesota,Technology,Accessories,45.98,2,19.7714
46,Minnesota,Office Supplies,Binders,17.46,2,8.2062
47,Michigan,Office Supplies,Storage,211.96,4,8.4784
48,Delaware,Technology,Accessories,45,3,4.95
49,Delaware,Technology,Phones,21.8,2,6.104
50,Indiana,Office Supplies,Binders,38.22,6,17.9634
51,Indiana,Office Supplies,Labels,75.18,6,35.3346
52,Indiana,Furniture,Furnishings,6.16,2,2.9568
53,Indiana,Furniture,Chairs,89.99,1,17.0981
54,New York,Office Supplies,Fasteners,15.26,7,6.2566
55,New York,Technology,Phones,1029.95,5,298.6855
56,New York,Office Supplies,Storage,208.56,6,52.14
57,New York,Office Supplies,Paper,32.4,5,15.552
58,New York,Furniture,Chairs,319.41,5,7.098
59,New York,Office Supplies,Paper,14.56,2,6.9888
60,New York,Technology,Accessories,30,2,3.3
61,New York,Office Supplies,Binders,48.48,4,16.362
62,New York,Office Supplies,Art,1.68,1,0.84
63,California,Technology,Accessories,13.98,2,6.1512
64,California,Office Supplies,Binders,25.824,6,9.3612
65,California,Office Supplies,Paper,146.73,3,68.9631
66,California,Furniture,Furnishings,79.76,4,22.3328
67,Illinois,Furniture,Chairs,213.115,5,-15.2225
68,Arizona,Office Supplies,Art,1113.024,8,111.3024
