name,year,director,writer,star
The Long Riders,1980,Walter Hill,Bill Bryden,David Carradine
Any Which Way You Can,1980,Buddy Van Horn,Stanford Sherman,Clint Eastwood
The Gods Must Be Crazy,1980,Jamie Uys,Jamie Uys,N!xau
Popeye,1980,Robert Altman,Jules Feiffer,Robin Williams
Ordinary People,1980,Robert Redford,Judith Guest,Donald Sutherland
Dressed to Kill,1980,Brian De Palma,Brian De Palma,Michael Caine
Somewhere in Time,1980,Jeannot Szwarc,Richard Matheson,Christopher Reeve
Fame,1980,Alan Parker,Christopher Gore,Eddie Barth
9 to 5,1980,Colin Higgins,Patricia Resnick,Jane Fonda
The Fog,1980,John Carpenter,John Carpenter,Adrienne Barbeau
